Original Air Date,Title,Instructor,Length,Type
Tue May 12 11:21:00 2020,30 min AHM Celebration: Live from Home,Ross Rayburn,30.0,Yoga Flow
Mon May 11 11:22:00 2020,30 min Slow Flow: Live from Home,Aditi Shah,30.0,Yoga Flow
Sat May  9 11:23:00 2020,30 min AHM Celebration: Live from Home,Aditi Shah,30.0,Yoga Flow
Wed May  6 11:24:00 2020,45 min Power Yoga: Live from Home,Aditi Shah,45.0,Power Yoga
Tue May  5 10:23:00 2020,30 min Yoga Flow: Live from Home,Ross Rayburn,30.0,Yoga Flow
Sun May  3 10:23:00 2020,30 min 80s Pop Yoga Flow: Live from Home,Kristin McGee,30.0,Yoga Flow
Sun May  3 07:54:00 2020,45 min Flow & Let Go: Live from Home,Aditi Shah,45.0,Yoga Flow
Sat May  2 07:50:00 2020,45 min Yoga Flow: Live from Home,Ross Rayburn,45.0,Yoga Flow
Fri May  1 10:25:00 2020,30 min Hip Hop Yoga Flow: Live from Home,Ross Rayburn,30.0,Yoga Flow
Fri May  1 07:55:00 2020,30 min 90s Yoga Flow: Live from Home,Aditi Shah,30.0,Yoga Flow
Wed Apr 29 16:00:00 2020,30 min Slow Flow,Aditi Shah,30.0,Yoga Flow
Tue Apr 28 05:55:00 2020,30 min Morning Yoga Flow: Live from Home,Aditi Shah,30.0,Yoga Flow
Sun Apr 26 08:00:00 2020,10 min Yoga Flow: Lower Body,Kristin McGee,10.0,Yoga Flow
Sat Apr 25 05:55:00 2020,30 min Yoga Flow: Live from Home,Aditi Shah,30.0,Yoga Flow
Tue Apr 14 05:30:00 2020,20 min Power Yoga,Denis Morton,20.0,Power Yoga
Thu Apr  9 06:30:00 2020,10 min Chair Yoga,Aditi Shah,10.0,Yoga Anywhere
Mon Apr  6 13:00:00 2020,10 min Yoga Flow: Sun Salutations,Anna Greenberg,10.0,Yoga Flow
Fri Apr  3 11:01:00 2020,20 min Yoga Flow,Anna Greenberg,20.0,Yoga Flow
Fri Apr  3 10:19:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Fri Apr  3 06:30:00 2020,20 min Slow Flow,Ross Rayburn,20.0,Yoga Flow
Thu Apr  2 10:20:00 2020,45 min Yoga Flow,Aditi Shah,45.0,Yoga Flow
Thu Apr  2 06:30:00 2020,5 min Standing Yoga,Kristin McGee,5.0,Yoga Anywhere
Wed Apr  1 10:18:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Wed Apr  1 06:30:00 2020,45 min Slow Flow,Aditi Shah,45.0,Yoga Flow
Tue Mar 31 10:19:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Mon Mar 30 11:02:00 2020,20 min Slow Flow,Denis Morton,20.0,Yoga Flow
Mon Mar 30 10:16:00 2020,30 min Yoga Flow,Denis Morton,30.0,Yoga Flow
Mon Mar 30 06:30:00 2020,45 min Yoga Flow,Kristin McGee,45.0,Yoga Flow
Sun Mar 29 10:17:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Sat Mar 28 10:16:00 2020,60 min Yoga Flow,Kristin McGee,60.0,Yoga Flow
Sat Mar 28 06:30:00 2020,30 min Yoga Flow: Arms,Denis Morton,30.0,Yoga Flow
Fri Mar 27 11:01:00 2020,20 min Slow Flow,Kristin McGee,20.0,Yoga Flow
Fri Mar 27 10:19:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Fri Mar 27 06:30:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Thu Mar 26 10:19:00 2020,45 min Power Yoga,Aditi Shah,45.0,Power Yoga
Wed Mar 25 10:19:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Wed Mar 25 06:30:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Tue Mar 24 10:26:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Mon Mar 23 10:18:00 2020,60 min Yoga Flow,Denis Morton,60.0,Yoga Flow
Sun Mar 22 08:48:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Sun Mar 22 07:19:00 2020,45 min Yoga Flow,Kristin McGee,45.0,Yoga Flow
Sat Mar 21 08:48:00 2020,30 min Power Yoga,Anna Greenberg,30.0,Power Yoga
Sat Mar 21 07:19:00 2020,60 min Yoga Flow,Anna Greenberg,60.0,Yoga Flow
Fri Mar 20 08:50:00 2020,30 min Yoga Flow: Glutes,Aditi Shah,30.0,Yoga Flow
Fri Mar 20 07:20:00 2020,45 min Yoga Flow,Aditi Shah,45.0,Yoga Flow
Thu Mar 19 08:47:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Thu Mar 19 08:02:00 2020,20 min Yoga Flow,Ross Rayburn,20.0,Yoga Flow
Thu Mar 19 07:20:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Sun Mar 15 12:15:00 2020,20 min Postnatal Yoga Flow,Kristin McGee,20.0,Pre & Postnatal Yoga
Sun Mar 15 12:00:00 2020,20 min Prenatal Yoga Flow,Kristin McGee,20.0,Pre & Postnatal Yoga
Sun Mar 15 11:00:00 2020,10 min Postnatal Yoga Flow,Kristin McGee,10.0,Pre & Postnatal Yoga
Sun Mar 15 10:45:00 2020,10 min Prenatal Yoga Flow,Kristin McGee,10.0,Pre & Postnatal Yoga
Sun Mar 15 10:30:00 2020,10 min Standing Yoga,Anna Greenberg,10.0,Yoga Anywhere
Sun Mar 15 10:30:00 2020,30 min Slow Flow,Anna Greenberg,30.0,Yoga Flow
Sun Mar 15 10:00:00 2020,10 min Yoga Flow,Aditi Shah,10.0,Yoga Flow
Sun Mar 15 09:30:00 2020,10 min Yoga Flow: Backbends,Aditi Shah,10.0,Yoga Flow
Sun Mar 15 09:00:00 2020,10 min Yoga Flow,Anna Greenberg,10.0,Yoga Flow
Sun Mar 15 09:00:00 2020,10 min Yoga Flow: Core,Aditi Shah,10.0,Yoga Flow
Sun Mar 15 08:30:00 2020,10 min Yoga Flow,Aditi Shah,10.0,Yoga Flow
Sun Mar 15 07:32:00 2020,45 min Yoga Flow,Denis Morton,45.0,Yoga Flow
Sun Mar 15 06:18:00 2020,45 min Yoga Flow,Kristin McGee,45.0,Yoga Flow
Sat Mar 14 07:34:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Sat Mar 14 06:17:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Fri Mar 13 04:48:00 2020,45 min Yoga Flow: Hips,Ross Rayburn,45.0,Yoga Flow
Thu Mar 12 16:19:00 2020,45 min Flow & Let Go,Aditi Shah,45.0,Yoga Flow
Thu Mar 12 15:31:00 2020,20 min Restorative Yoga,Anna Greenberg,20.0,Restorative Yoga
Thu Mar 12 14:48:00 2020,30 min Slow Flow,Anna Greenberg,30.0,Yoga Flow
Thu Mar 12 05:31:00 2020,20 min Yoga Flow: Twists,Kristin McGee,20.0,Yoga Flow
Thu Mar 12 04:50:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Wed Mar 11 15:31:00 2020,10 min Yoga Flow,Anna Greenberg,10.0,Yoga Flow
Wed Mar 11 14:48:00 2020,30 min Yoga Flow: Hips,Anna Greenberg,30.0,Yoga Flow
Wed Mar 11 08:00:00 2020,10 min Basics: Transitions,Anna Greenberg,10.0,Yoga Basics
Wed Mar 11 04:49:00 2020,45 min Power Yoga,Kristin McGee,45.0,Power Yoga
Tue Mar 10 16:18:00 2020,30 min Yoga Flow: Core,Ross Rayburn,30.0,Yoga Flow
Tue Mar 10 15:32:00 2020,20 min Yoga Flow,Denis Morton,20.0,Yoga Flow
Tue Mar 10 14:47:00 2020,30 min WHM Celebration Yoga Flow,Denis Morton,30.0,Yoga Flow
Tue Mar 10 08:02:00 2020,10 min Desk Yoga,Aditi Shah,10.0,Yoga Anywhere
Tue Mar 10 04:48:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Mon Mar  9 16:18:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Mon Mar  9 15:32:00 2020,20 min Evening Yoga Flow,Ross Rayburn,20.0,Yoga Flow
Mon Mar  9 14:47:00 2020,30 min Power Yoga,Ross Rayburn,30.0,Power Yoga
Mon Mar  9 05:31:00 2020,20 min Yoga Flow,Aditi Shah,20.0,Yoga Flow
Mon Mar  9 04:47:00 2020,30 min Slow Flow,Aditi Shah,30.0,Yoga Flow
Sun Mar  8 07:34:00 2020,45 min Yoga Flow,Kristin McGee,45.0,Yoga Flow
Sun Mar  8 06:17:00 2020,45 min Two for One: WHM Yoga Flow,Multiple Instructors,45.0,Yoga Flow
Sat Mar  7 07:33:00 2020,45 min WHM Celebration Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Sat Mar  7 06:17:00 2020,45 min Yoga Flow,Denis Morton,45.0,Yoga Flow
