Original Air Date,Type,Instructor,Length
Wed Apr 29 14:05:00 2020,Core (Strength & Toning),Rebecca Kennedy,10.0
Tue Apr 28 08:55:00 2020,Core (Strength & Toning),Robin Arzon,15.0
Tue Apr 28 05:25:00 2020,Full Body (Strength & Toning),Andy Speer,20.0
Mon Apr 27 07:55:00 2020,Full Body (Strength & Toning),Robin Arzon,20.0
Sat Apr 25 06:30:00 2020,Core (Strength & Toning),Rebecca Kennedy,15.0
Thu Apr 23 07:55:00 2020,Bodyweight (Strength & toning),Andy Speer,20.0
Tue Apr 14 01:30:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Mon Apr  6 04:00:00 2020,Core (Strength & Toning),Robin Arzon,5.0
Sun Apr  5 05:52:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Fri Apr  3 08:02:00 2020,Upper Body (strength & toning),Andy Speer,10.0
Wed Apr  1 10:57:00 2020,Upper Body (strength & toning),Cody Rigsby,10.0
Tue Mar 31 08:02:00 2020,Full Body (Strength & Toning),Becs Gentry,10.0
Mon Mar 30 08:17:00 2020,Bodyweight (Strength & toning),Becs Gentry,10.0
Mon Mar 30 06:30:00 2020,Upper Body (strength & toning),Robin Arzon,10.0
Fri Mar 27 06:30:00 2020,Bodyweight (Strength & toning),Chase Tucker,10.0
Thu Mar 26 06:30:00 2020,Core (Strength & Toning),Robin Arzon,10.0
Wed Mar 25 08:02:00 2020,Core (Strength & Toning),Andy Speer,10.0
Wed Mar 25 07:18:00 2020,Full Body (Strength & Toning),Andy Speer,30.0
Tue Mar 24 07:51:00 2020,Full Body (Strength & Toning),Robin Arzon,20.0
Tue Mar 24 06:30:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,10.0
Sun Mar 22 10:52:00 2020,Bodyweight (Strength & toning),Jess Sims,20.0
Sat Mar 21 10:18:00 2020,Full Body (Strength & Toning),Jess Sims,20.0
Sun Mar 15 07:03:00 2020,Upper Body (strength & toning),Rebecca Kennedy,10.0
Sun Mar 15 05:30:00 2020,Core (Strength & Toning),Cody Rigsby,5.0
Sun Mar 15 05:30:00 2020,Full Body (Strength & Toning),Jess Sims,30.0
Sun Mar 15 04:30:00 2020,Upper Body (strength & toning),Cody Rigsby,10.0
Sat Mar 14 07:02:00 2020,Upper Body (strength & toning),Chase Tucker,10.0
Fri Mar 13 05:32:00 2020,Lower Body (Strength & Toning),Matty Maggiacomo,10.0
Thu Mar 12 12:32:00 2020,Upper Body (strength & toning),Ben Alldis,10.0
Thu Mar 12 08:01:00 2020,Upper Body (strength & toning),Robin Arzon,10.0
Thu Mar 12 06:36:00 2020,Bodyweight (Strength & toning),Becs Gentry,20.0
Thu Mar 12 05:25:00 2020,Upper Body (strength & toning),Matty Maggiacomo,20.0
Thu Mar 12 04:22:00 2020,Upper Body (strength & toning),Jess Sims,20.0
Wed Mar 11 17:18:00 2020,Core (Strength & Toning),Rebecca Kennedy,10.0
Wed Mar 11 08:34:00 2020,Upper Body (strength & toning),Jess Sims,15.0
Wed Mar 11 05:32:00 2020,Upper Body (strength & toning),Andy Speer,10.0
Wed Mar 11 03:31:00 2020,Full Body (Strength & Toning),Matt Wilpers,10.0
Tue Mar 10 15:02:00 2020,Lower Body (Strength & Toning),Rebecca Kennedy,10.0
Tue Mar 10 08:02:00 2020,Upper Body (strength & toning),Denis Morton,10.0
Tue Mar 10 06:55:00 2020,Lower Body (Strength & Toning),Olivia Amato,10.0
Tue Mar 10 06:29:00 2020,Core (Strength & Toning),Olivia Amato,20.0
Tue Mar 10 06:26:00 2020,Upper Body (strength & toning),Chase Tucker,20.0
Tue Mar 10 05:31:00 2020,Bodyweight (Strength & toning),Olivia Amato,10.0
Tue Mar 10 04:32:00 2020,Lower Body (Strength & Toning),Jess Sims,10.0
Tue Mar 10 02:55:00 2020,Upper Body (strength & toning),Leanne Hainsby,10.0
Sat Mar  7 06:52:00 2020,Bodyweight (Strength & toning),Chase Tucker,20.0
Fri Mar  6 08:08:00 2020,Core (Strength & Toning),Becs Gentry,10.0
Fri Mar  6 05:21:00 2020,Full Body (Strength & Toning),Matty Maggiacomo,20.0
Fri Mar  6 04:21:00 2020,Lower Body (Strength & Toning),Selena Samuela,20.0
Fri Mar  6 03:49:00 2020,Upper Body (strength & toning),Selena Samuela,20.0
Fri Mar  6 03:22:00 2020,Upper Body (strength & toning),Rebecca Kennedy,20.0
Thu Mar  5 12:23:00 2020,Core (Strength & Toning),Chase Tucker,15.0
Thu Mar  5 05:34:00 2020,Upper Body (strength & toning),Matty Maggiacomo,10.0
Thu Mar  5 04:22:00 2020,Bodyweight (Strength & toning),Jess Sims,20.0
Wed Mar  4 23:40:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Mar  4 05:22:00 2020,Upper Body (strength & toning),Andy Speer,20.0
Wed Mar  4 03:48:00 2020,Bodyweight (Strength & toning),Rebecca Kennedy,30.0
Tue Mar  3 22:32:00 2020,Upper Body (strength & toning),Ben Alldis,10.0
Tue Mar  3 05:31:00 2020,Core (Strength & Toning),Olivia Amato,10.0
Tue Mar  3 04:32:00 2020,Core (Strength & Toning),Jess Sims,10.0
Mon Mar  2 15:02:00 2020,Core (Strength & Toning),Robin Arzon,10.0
Mon Mar  2 14:18:00 2020,Upper Body (strength & toning),Robin Arzon,30.0
Mon Mar  2 04:31:00 2020,Bodyweight (Strength & toning),Selena Samuela,10.0
Sun Mar  1 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Mar  1 11:14:00 2020,Lower Body (Strength & Toning),Selena Samuela,10.0
Sun Mar  1 07:02:00 2020,Core (Strength & Toning),Rebecca Kennedy,10.0
Sun Mar  1 04:30:00 2020,Upper Body (strength & toning),Cody Rigsby,10.0
Fri Feb 28 05:32:00 2020,Core (Strength & Toning),Matty Maggiacomo,10.0
Fri Feb 28 02:48:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,30.0
Thu Feb 27 10:10:00 2020,Core (Strength & Toning),Robin Arzon,10.0
Thu Feb 27 09:54:00 2020,Lower Body (Strength & Toning),Robin Arzon,10.0
Thu Feb 27 08:02:00 2020,Upper Body (strength & toning),Robin Arzon,10.0
Thu Feb 27 03:32:00 2020,Upper Body (strength & toning),Chase Tucker,10.0
Wed Feb 26 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Feb 26 16:53:00 2020,Core (Strength & Toning),Rebecca Kennedy,30.0
Wed Feb 26 05:31:00 2020,Upper Body (strength & toning),Andy Speer,10.0
Tue Feb 25 12:17:00 2020,Lower Body (Strength & Toning),Chase Tucker,15.0
Mon Feb 24 17:01:00 2020,Core (Strength & Toning),Matty Maggiacomo,20.0
Mon Feb 24 07:44:00 2020,Core (Strength & Toning),Selena Samuela,10.0
Mon Feb 24 07:18:00 2020,Bodyweight (Strength & toning),Selena Samuela,20.0
Mon Feb 24 04:22:00 2020,Upper Body (strength & toning),Rebecca Kennedy,20.0
Sun Feb 23 22:32:00 2020,Upper Body (strength & toning),Sam Yo,10.0
Sun Feb 23 07:01:00 2020,Core (Strength & Toning),Selena Samuela,10.0
Sat Feb 22 07:02:00 2020,Core (Strength & Toning),Chase Tucker,10.0
Sat Feb 22 06:21:00 2020,Lower Body (Strength & Toning),Chase Tucker,30.0
Fri Feb 21 05:32:00 2020,Lower Body (Strength & Toning),Matty Maggiacomo,10.0
Fri Feb 21 02:47:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,20.0
Thu Feb 20 05:22:00 2020,Bodyweight (Strength & toning),Matty Maggiacomo,20.0
Thu Feb 20 04:22:00 2020,Core (Strength & Toning),Jess Sims,20.0
Wed Feb 19 23:32:00 2020,Upper Body (strength & toning),Hannah Frankson,10.0
Wed Feb 19 16:52:00 2020,Full Body (Strength & Toning),Rebecca Kennedy,30.0
Wed Feb 19 15:02:00 2020,Upper Body (strength & toning),Chase Tucker,10.0
Wed Feb 19 12:57:00 2020,Full Body (Strength & Toning),Selena Samuela,20.0
Wed Feb 19 04:49:00 2020,Full Body (Strength & Toning),Andy Speer,20.0
