Original Air Date,Title,Instructor,Length,Type
Tue Mar  3 03:48:00 2020,30 min Bootcamp: Full Body,Jess Sims,30.0,Body Focus (Bootcamp)
Tue Mar  3 02:49:00 2020,45 min Bootcamp: Bodyweight,Andy Speer,45.0,Bodyweight (Bootcamp)
Mon Mar  2 15:17:00 2020,45 min Punk Rock Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Mon Mar  2 04:49:00 2020,45 min 90s Bootcamp,Jess Sims,45.0,Theme (Bootcamp)
Sun Mar  1 06:19:00 2020,30 min Bootcamp: Full Body,Rebecca Kennedy,30.0,Body Focus (Bootcamp)
Sun Mar  1 05:20:00 2020,45 min 80s Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Sat Feb 29 07:46:00 2020,60 min Two for One: BHM Bootcamp,Multiple Instructors,60.0,Theme (Bootcamp)
Sat Feb 29 05:18:00 2020,45 min Bootcamp: Core,Selena Samuela,45.0,Body Focus (Bootcamp)
Fri Feb 28 08:49:00 2020,30 min Hip Hop Bootcamp,Jess Sims,30.0,Theme (Bootcamp)
Fri Feb 28 04:47:00 2020,30 min Pop Bootcamp,Matty Maggiacomo,30.0,Theme (Bootcamp)
Wed Feb 26 14:15:00 2020,45 min Hip Hop Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Tue Feb 25 15:21:00 2020,45 min Rock Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Tue Feb 25 14:18:00 2020,45 min 90s Bootcamp,Rebecca Kennedy,45.0,Theme (Bootcamp)
Mon Feb 24 16:19:00 2020,30 min EDM Bootcamp,Matty Maggiacomo,30.0,Theme (Bootcamp)
Mon Feb 24 15:18:00 2020,45 min BHM Soca Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Mon Feb 24 04:49:00 2020,45 min Bootcamp: Core,Jess Sims,45.0,Body Focus (Bootcamp)
Sun Feb 23 06:18:00 2020,30 min Bootcamp: Full Body,Selena Samuela,30.0,Body Focus (Bootcamp)
Sat Feb 22 07:49:00 2020,60 min 90s Bootcamp,Matty Maggiacomo,60.0,Theme (Bootcamp)
Fri Feb 21 07:21:00 2020,20 min Bootcamp: Bodyweight,Selena Samuela,20.0,Bodyweight (Bootcamp)
Fri Feb 21 04:47:00 2020,30 min Bootcamp: Full Body,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Thu Feb 20 15:18:00 2020,45 min Bootcamp: Glutes & Legs,Andy Speer,45.0,Body Focus (Bootcamp)
Tue Feb 18 15:20:00 2020,45 min Trap Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Tue Feb 18 03:49:00 2020,30 min Bootcamp: Glutes & Legs,Jess Sims,30.0,Body Focus (Bootcamp)
Sat Feb 15 07:47:00 2020,60 min Bootcamp: Full Body,Jess Sims,60.0,Body Focus (Bootcamp)
Sat Feb 15 06:19:00 2020,30 min Broadway Bootcamp,Matty Maggiacomo,30.0,Theme (Bootcamp)
Fri Feb 14 05:53:00 2020,30 min Bootcamp: Full Body,Andy Speer,30.0,Body Focus (Bootcamp)
Thu Feb 13 15:18:00 2020,45 min Bootcamp: Chest & Back,Andy Speer,45.0,Body Focus (Bootcamp)
Wed Feb 12 15:19:00 2020,45 min 2000s Bootcamp,Jess Sims,45.0,Theme (Bootcamp)
Wed Feb 12 14:19:00 2020,45 min Bootcamp: Bodyweight,Chase Tucker,45.0,Bodyweight (Bootcamp)
Tue Feb 11 14:18:00 2020,45 min 80s Bootcamp,Rebecca Kennedy,45.0,Theme (Bootcamp)
Tue Feb 11 03:48:00 2020,30 min Hip Hop Bootcamp,Chase Tucker,30.0,Theme (Bootcamp)
Mon Feb 10 16:19:00 2020,60 min Bootcamp: Core,Matty Maggiacomo,60.0,Body Focus (Bootcamp)
Mon Feb 10 15:17:00 2020,45 min R&B Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Mon Feb 10 04:49:00 2020,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Mon Feb 10 02:47:00 2020,45 min Bootcamp: Core,Olivia Amato,45.0,Body Focus (Bootcamp)
Sun Feb  9 09:15:00 2020,45 min Bootcamp: Chest & Back,Selena Samuela,45.0,Body Focus (Bootcamp)
Sun Feb  9 06:19:00 2020,30 min Bootcamp: Full Body,Rebecca Kennedy,30.0,Body Focus (Bootcamp)
Sun Feb  9 05:17:00 2020,45 min Hip Hop Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Sat Feb  8 08:00:00 2020,60 min 90s Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Sat Feb  8 06:30:00 2020,45 min Bootcamp: Arms & Shoulders,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Fri Feb  7 04:47:00 2020,30 min Bootcamp: Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Wed Feb  5 14:15:00 2020,45 min Bootcamp: Glutes & Legs,Chase Tucker,45.0,Body Focus (Bootcamp)
Wed Feb  5 03:49:00 2020,45 min Hip Hop Bootcamp,Jess Sims,45.0,Theme (Bootcamp)
Tue Feb  4 14:20:00 2020,45 min Bootcamp: Core,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Tue Feb  4 03:47:00 2020,30 min Bootcamp: Core,Jess Sims,30.0,Body Focus (Bootcamp)
Mon Feb  3 04:49:00 2020,45 min Bootcamp: Arms & Shoulders,Jess Sims,45.0,Body Focus (Bootcamp)
Mon Feb  3 03:47:00 2020,45 min Bootcamp: Full Body,Andy Speer,45.0,Body Focus (Bootcamp)
Sat Feb  1 07:47:00 2020,60 min BHM Celebration Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Fri Jan 31 05:49:00 2020,30 min Hip Hop Bootcamp,Andy Speer,30.0,Theme (Bootcamp)
Thu Jan 30 16:30:00 2020,60 min Bootcamp: Arms & Shoulders,Chase Tucker,60.0,Body Focus (Bootcamp)
Thu Jan 30 15:17:00 2020,45 min Guns N' Roses Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Wed Jan 29 14:15:00 2020,45 min Bootcamp: Full Body,Chase Tucker,45.0,Body Focus (Bootcamp)
Tue Jan 28 15:19:00 2020,45 min Run + Glutes & Legs,Selena Samuela,45.0,Body Focus (Bootcamp)
Tue Jan 28 14:20:00 2020,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Tue Jan 28 03:48:00 2020,30 min Bootcamp: Full Body,Jess Sims,30.0,Body Focus (Bootcamp)
Tue Jan 28 02:47:00 2020,45 min Bootcamp: Full Body,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Jan 27 15:18:00 2020,45 min Bootcamp: Bodyweight,Chase Tucker,45.0,Bodyweight (Bootcamp)
Mon Jan 27 03:48:00 2020,30 min Bootcamp: Bodyweight,Selena Samuela,30.0,Bodyweight (Bootcamp)
Mon Jan 27 02:47:00 2020,45 min Bootcamp: Arms & Shoulders,Olivia Amato,45.0,Body Focus (Bootcamp)
Sat Jan 25 06:17:00 2020,30 min Bootcamp: Arms & Shoulders,Chase Tucker,30.0,Body Focus (Bootcamp)
Fri Jan 24 06:21:00 2020,20 min 80s Bootcamp,Andy Speer,20.0,Theme (Bootcamp)
Thu Jan 23 16:17:00 2020,60 min Bootcamp: Arms & Shoulders,Chase Tucker,60.0,Body Focus (Bootcamp)
Thu Jan 23 15:18:00 2020,45 min Bootcamp: Core,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Jan 23 04:48:00 2020,30 min Bootcamp: Full Body,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Thu Jan 23 03:47:00 2020,20 min New Tracks Bootcamp,Jess Sims,20.0,Theme (Bootcamp)
Wed Jan 22 15:23:00 2020,45 min New Tracks Bootcamp,Matty Maggiacomo,45.0,Theme (Bootcamp)
Wed Jan 22 03:47:00 2020,45 min Bootcamp: Core,Jess Sims,45.0,Body Focus (Bootcamp)
Tue Jan 21 14:20:00 2020,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Tue Jan 21 04:47:00 2020,30 min Bootcamp: Full Body,Olivia Amato,30.0,Body Focus (Bootcamp)
Tue Jan 21 02:47:00 2020,30 min Bootcamp: Full Body,Andy Speer,30.0,Body Focus (Bootcamp)
Mon Jan 20 07:50:00 2020,45 min Bootcamp: Bodyweight,Jess Sims,45.0,Bodyweight (Bootcamp)
Sun Jan 19 09:19:00 2020,45 min Hip Hop Bootcamp,Selena Samuela,45.0,Theme (Bootcamp)
Sat Jan 18 07:48:00 2020,60 min Bootcamp: Arms & Shoulders,Jess Sims,60.0,Body Focus (Bootcamp)
Sat Jan 18 06:17:00 2020,30 min Bootcamp: Chest & Back,Chase Tucker,30.0,Body Focus (Bootcamp)
Thu Jan 16 16:19:00 2020,60 min Bootcamp: Bodyweight,Chase Tucker,60.0,Bodyweight (Bootcamp)
Thu Jan 16 15:19:00 2020,45 min Punk Rock Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Thu Jan 16 04:48:00 2020,30 min Bootcamp: Bodyweight,Matty Maggiacomo,30.0,Bodyweight (Bootcamp)
Tue Jan 14 14:19:00 2020,45 min Bootcamp: Bodyweight,Rebecca Kennedy,45.0,Bodyweight (Bootcamp)
Tue Jan 14 03:49:00 2020,30 min Bootcamp: Full Body,Jess Sims,30.0,Body Focus (Bootcamp)
Mon Jan 13 03:50:00 2020,30 min Bootcamp: Glutes & Legs,Selena Samuela,30.0,Body Focus (Bootcamp)
Sun Jan 12 06:18:00 2020,30 min 90s Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Sun Jan 12 05:18:00 2020,45 min Bootcamp: Bodyweight,Andy Speer,45.0,Bodyweight (Bootcamp)
Sat Jan 11 08:00:00 2020,60 min Pop Bootcamp,Matty Maggiacomo,60.0,Theme (Bootcamp)
Sat Jan 11 06:18:00 2020,30 min Hip Hop Bootcamp,Chase Tucker,30.0,Theme (Bootcamp)
Thu Jan  9 15:18:00 2020,45 min Bootcamp: Glutes & Legs,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Jan  9 06:58:00 2020,30 min Bootcamp: Full Body,Olivia Amato,30.0,Body Focus (Bootcamp)
Wed Jan  8 15:30:00 2020,45 min Bootcamp: Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Wed Jan  8 14:16:00 2020,45 min Bootcamp: Full Body,Chase Tucker,45.0,Body Focus (Bootcamp)
Wed Jan  8 11:59:00 2020,30 min Bootcamp: Full Body,Selena Samuela,30.0,Body Focus (Bootcamp)
Tue Jan  7 16:17:00 2020,60 min Bootcamp: Full Body,Andy Speer,60.0,Body Focus (Bootcamp)
Tue Jan  7 14:16:00 2020,45 min Bootcamp: Core,Chase Tucker,45.0,Body Focus (Bootcamp)
Tue Jan  7 03:47:00 2020,30 min Pop Bootcamp,Jess Sims,30.0,Theme (Bootcamp)
Sun Jan  5 05:17:00 2020,45 min Pop Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Sat Jan  4 08:00:00 2020,60 min Bootcamp: Bodyweight,Jess Sims,60.0,Bodyweight (Bootcamp)
Mon Dec 30 07:49:00 2019,45 min Bootcamp: Full Body,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Dec 30 06:18:00 2019,45 min Bootcamp: Core,Jess Sims,45.0,Body Focus (Bootcamp)
Sun Dec 29 06:19:00 2019,30 min Bootcamp: Bodyweight,Rebecca Kennedy,30.0,Bodyweight (Bootcamp)
Sun Dec 29 05:19:00 2019,45 min Best of the Decade Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Sat Dec 28 07:49:00 2019,60 min Best of the Decade Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Sat Dec 28 06:40:00 2019,30 min Best of the Decade Bootcamp,Chase Tucker,30.0,Theme (Bootcamp)
Thu Dec 26 15:17:00 2019,45 min Bootcamp: Core,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Dec 26 04:47:00 2019,45 min Hip Hop Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Mon Dec 23 16:19:00 2019,45 min Rock Bootcamp,Rebecca Kennedy,45.0,Theme (Bootcamp)
Mon Dec 23 04:49:00 2019,45 min Bootcamp: Full Body,Jess Sims,45.0,Body Focus (Bootcamp)
Sun Dec 22 05:16:00 2019,45 min Bootcamp: Bodyweight,Andy Speer,45.0,Bodyweight (Bootcamp)
Sat Dec 21 07:49:00 2019,60 min Bootcamp: Chest & Back,Jess Sims,60.0,Body Focus (Bootcamp)
Fri Dec 20 06:49:00 2019,30 min Bootcamp: Full Body,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Fri Dec 20 03:00:00 2019,30 min Holiday Bootcamp,Jess Sims,30.0,Body Focus (Bootcamp)
Fri Dec 20 02:48:00 2019,30 min Pop Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Thu Dec 19 15:17:00 2019,45 min Bootcamp: Chest & Back,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Dec 19 04:12:00 2019,30 min Bootcamp: Arms & Shoulders,Chase Tucker,30.0,Body Focus (Bootcamp)
Tue Dec 17 15:20:00 2019,45 min Run + Arms & Shoulders,Selena Samuela,45.0,Body Focus (Bootcamp)
Tue Dec 17 14:19:00 2019,45 min Bootcamp: Core,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Tue Dec 17 02:47:00 2019,45 min 90s Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Mon Dec 16 04:48:00 2019,45 min 90s Bootcamp,Jess Sims,45.0,Theme (Bootcamp)
Mon Dec 16 02:48:00 2019,45 min Bootcamp: Arms & Shoulders,Olivia Amato,45.0,Body Focus (Bootcamp)
Sun Dec 15 10:22:00 2019,30 min Bootcamp: Full Body,Selena Samuela,30.0,Body Focus (Bootcamp)
Sat Dec 14 07:47:00 2019,60 min R&B Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Sat Dec 14 05:24:00 2019,45 min Run + Bodyweight,Becs Gentry,45.0,Bodyweight (Bootcamp)
Thu Dec 12 15:18:00 2019,45 min Metal Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Thu Dec 12 05:48:00 2019,20 min Bootcamp: Arms & Shoulders,Chase Tucker,20.0,Body Focus (Bootcamp)
Wed Dec 11 16:19:00 2019,45 min Bootcamp: Glutes & Legs,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Wed Dec 11 14:18:00 2019,45 min Bootcamp: Chest & Back,Chase Tucker,45.0,Body Focus (Bootcamp)
Fri Dec 13 05:00:00 2019,45 min Holiday Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Tue Dec 10 04:12:00 2019,30 min 80s Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Mon Dec  9 16:18:00 2019,60 min EDM Bootcamp,Matty Maggiacomo,60.0,Theme (Bootcamp)
Mon Dec  9 15:17:00 2019,45 min Bootcamp: Bodyweight,Chase Tucker,45.0,Bodyweight (Bootcamp)
Sun Dec  8 05:19:00 2019,45 min Bootcamp: Full Body,Selena Samuela,45.0,Body Focus (Bootcamp)
Sat Dec  7 07:48:00 2019,60 min Bootcamp: Full Body,Jess Sims,60.0,Body Focus (Bootcamp)
Sat Dec  7 06:17:00 2019,30 min R&B Bootcamp,Chase Tucker,30.0,Theme (Bootcamp)
Fri Dec  6 08:46:00 2019,30 min Holiday Bootcamp,Andy Speer,30.0,Theme (Bootcamp)
Fri Dec  6 04:50:00 2019,30 min 2000s Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Thu Dec  5 16:18:00 2019,60 min Bootcamp: Glutes & Legs,Chase Tucker,60.0,Body Focus (Bootcamp)
Thu Dec  5 15:17:00 2019,45 min Bootcamp: Arms & Shoulders,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Dec  5 04:13:00 2019,30 min Pop Bootcamp,Jess Sims,30.0,Theme (Bootcamp)
Tue Dec  3 15:19:00 2019,45 min Bootcamp: Core,Selena Samuela,45.0,Body Focus (Bootcamp)
Tue Dec  3 02:49:00 2019,45 min Pop Bootcamp,Rebecca Kennedy,45.0,Theme (Bootcamp)
Mon Dec  2 15:17:00 2019,45 min Bootcamp: Core,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Dec  2 05:00:00 2019,45 min Bootcamp: Arms & Shoulders,Jess Sims,45.0,Body Focus (Bootcamp)
Mon Dec  2 03:48:00 2019,45 min EDM Bootcamp,Olivia Amato,45.0,Theme (Bootcamp)
Mon Dec  2 02:49:00 2019,30 min Bootcamp: Full Body,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Sat Nov 30 07:46:00 2019,60 min Bootcamp: Full Body,Jess Sims,60.0,Body Focus (Bootcamp)
Thu Nov 28 07:45:00 2019,45 min Turkey Burn Bootcamp,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Nov 28 04:45:00 2019,45 min Turkey Burn Bootcamp,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Mon Nov 25 16:19:00 2019,60 min 80s Bootcamp,Matty Maggiacomo,60.0,Theme (Bootcamp)
Sun Nov 24 06:20:00 2019,45 min Bootcamp: Arms & Shoulders,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Sun Nov 24 05:19:00 2019,45 min Bootcamp: Bodyweight,Andy Speer,45.0,Bodyweight (Bootcamp)
Sat Nov 23 07:48:00 2019,60 min Pop Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Thu Nov 21 02:50:00 2019,45 min Bootcamp: Chest & Back,Andy Speer,45.0,Body Focus (Bootcamp)
Wed Nov 20 15:22:00 2019,45 min Bootcamp: Core,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Wed Nov 20 14:19:00 2019,45 min Bootcamp: Chest & Back,Chase Tucker,45.0,Body Focus (Bootcamp)
Tue Nov 19 16:20:00 2019,60 min Bootcamp: Glutes & Legs,Chase Tucker,60.0,Body Focus (Bootcamp)
Tue Nov 19 15:30:00 2019,45 min Classic Rock Bootcamp,Selena Samuela,45.0,Theme (Bootcamp)
Mon Nov 18 16:19:00 2019,30 min Bootcamp: Arms & Shoulders,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Mon Nov 18 04:48:00 2019,45 min Run + Chest & Back,Jess Sims,45.0,Body Focus (Bootcamp)
Sun Nov 17 06:19:00 2019,30 min Latin Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Sun Nov 17 05:22:00 2019,45 min Bootcamp: Core,Andy Speer,45.0,Body Focus (Bootcamp)
Sat Nov 16 07:49:00 2019,60 min Hip Hop Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Fri Nov 15 05:47:00 2019,30 min Walk + Core,Andy Speer,30.0,Walking Bootcamp
Thu Nov 14 15:17:00 2019,45 min Bootcamp: Glutes & Legs,Andy Speer,45.0,Body Focus (Bootcamp)
Wed Nov 13 16:18:00 2019,45 min Hip Hop Bootcamp,Rebecca Kennedy,45.0,Theme (Bootcamp)
Wed Nov 13 15:17:00 2019,45 min Bootcamp: Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Wed Nov 13 14:18:00 2019,45 min Bootcamp: Bodyweight,Chase Tucker,45.0,Bodyweight (Bootcamp)
Tue Nov 12 14:19:00 2019,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Tue Nov 12 03:48:00 2019,30 min Run + Bodyweight,Jess Sims,30.0,Bodyweight (Bootcamp)
Mon Nov 11 04:48:00 2019,30 min Run + Glutes & Legs,Jess Sims,30.0,Body Focus (Bootcamp)
Sun Nov 10 09:19:00 2019,45 min Run + Core,Becs Gentry,45.0,Body Focus (Bootcamp)
Sat Nov  9 07:48:00 2019,60 min Bootcamp: Core,Jess Sims,60.0,Body Focus (Bootcamp)
Sat Nov  9 06:18:00 2019,45 min Disco Bootcamp,Matty Maggiacomo,45.0,Theme (Bootcamp)
Thu Nov  7 15:17:00 2019,45 min Bootcamp: Full Body,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Nov  7 14:17:00 2019,45 min Run + Arms & Shoulders,Olivia Amato,45.0,Body Focus (Bootcamp)
Thu Nov  7 03:48:00 2019,30 min Run + Chest & Back,Jess Sims,30.0,Body Focus (Bootcamp)
Wed Nov  6 14:24:00 2019,45 min Latin Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Tue Nov  5 14:19:00 2019,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Mon Nov  4 16:17:00 2019,60 min Bootcamp: Core,Selena Samuela,60.0,Body Focus (Bootcamp)
Mon Nov  4 04:49:00 2019,45 min Bootcamp: Arms & Shoulders,Jess Sims,45.0,Body Focus (Bootcamp)
Sat Nov  2 07:48:00 2019,60 min Bootcamp: Chest & Back,Jess Sims,60.0,Body Focus (Bootcamp)
Thu Oct 31 15:17:00 2019,45 min Bootcamp: Chest & Back,Andy Speer,45.0,Body Focus (Bootcamp)
Thu Oct 31 13:01:00 2019,20 min Bootcamp: Core,Olivia Amato,20.0,Body Focus (Bootcamp)
Thu Oct 31 11:41:00 2019,20 min Bootcamp: Glutes & Legs,Chase Tucker,20.0,Body Focus (Bootcamp)
Wed Oct 30 12:49:00 2019,20 min Bootcamp: Glutes & Legs,Jess Sims,20.0,Body Focus (Bootcamp)
Wed Oct 30 04:48:00 2019,45 min Halloween Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Tue Oct 29 14:19:00 2019,30 min Y2K Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Mon Oct 28 15:22:00 2019,45 min Bootcamp: Arms & Shoulders,Chase Tucker,45.0,Body Focus (Bootcamp)
Sun Oct 27 05:17:00 2019,45 min Run + Core,Andy Speer,45.0,Body Focus (Bootcamp)
Sat Oct 26 07:48:00 2019,60 min Bootcamp: Full Body,Jess Sims,60.0,Body Focus (Bootcamp)
Fri Oct 25 04:49:00 2019,30 min Bootcamp: Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Fri Oct 25 02:48:00 2019,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Thu Oct 24 15:18:00 2019,45 min 80s Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Wed Oct 23 16:17:00 2019,45 min Bootcamp: Core,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Wed Oct 23 15:19:00 2019,45 min Run + Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Mon Oct 21 16:18:00 2019,60 min Pop Bootcamp,Matty Maggiacomo,60.0,Theme (Bootcamp)
Mon Oct 21 15:19:00 2019,45 min Bootcamp: Full Body,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Oct 21 04:49:00 2019,45 min Bootcamp: Core,Jess Sims,45.0,Body Focus (Bootcamp)
Sat Oct 19 07:48:00 2019,60 min Bootcamp: Bodyweight,Jess Sims,60.0,Bodyweight (Bootcamp)
Fri Oct 18 02:49:00 2019,30 min Hip Hop Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Thu Oct 17 14:17:00 2019,45 min Bootcamp: Full Body,Olivia Amato,45.0,Body Focus (Bootcamp)
Thu Oct 17 03:48:00 2019,30 min Run + Full Body,Jess Sims,30.0,Body Focus (Bootcamp)
Wed Oct 16 16:20:00 2019,45 min Bootcamp: Arms & Shoulders,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Tue Oct 15 12:48:00 2019,30 min Walk + Chest & Back,Chase Tucker,30.0,Walking Bootcamp
Mon Oct 14 16:20:00 2019,60 min Bootcamp: Full Body,Selena Samuela,60.0,Body Focus (Bootcamp)
Mon Oct 14 15:18:00 2019,45 min Bootcamp: Arms & Shoulders,Chase Tucker,45.0,Body Focus (Bootcamp)
Thu Oct 10 15:18:00 2019,45 min Run + Core,Olivia Amato,45.0,Body Focus (Bootcamp)
Thu Oct 10 07:00:00 2019,30 min Walk + Chest & Back,Chase Tucker,30.0,Walking Bootcamp
Wed Oct  9 16:19:00 2019,30 min Pop Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Wed Oct  9 14:19:00 2019,45 min Bootcamp: Bodyweight,Jess Sims,45.0,Bodyweight (Bootcamp)
Wed Oct  9 05:11:00 2019,30 min Run + Bodyweight,Becs Gentry,30.0,Bodyweight (Bootcamp)
Mon Oct  7 04:47:00 2019,45 min Run + Chest & Back,Jess Sims,45.0,Body Focus (Bootcamp)
Sun Oct  6 05:17:00 2019,45 min EDM Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Fri Oct  4 02:49:00 2019,30 min Hip Hop Bootcamp,Rebecca Kennedy,30.0,Theme (Bootcamp)
Thu Oct  3 04:49:00 2019,30 min Run + Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Thu Oct  3 03:47:00 2019,30 min Trap Bootcamp,Jess Sims,30.0,Theme (Bootcamp)
Wed Oct  2 10:16:00 2019,30 min Walk + Core,Jess Sims,30.0,Walking Bootcamp
Tue Oct  1 14:22:00 2019,45 min Bootcamp: Full Body,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Mon Sep 30 15:18:00 2019,45 min Hip Hop Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Sat Sep 28 07:49:00 2019,60 min Bootcamp: Arms & Shoulders,Matty Maggiacomo,60.0,Body Focus (Bootcamp)
Thu Sep 26 15:19:00 2019,45 min EDM Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Thu Sep 26 10:18:00 2019,30 min Walk + Glutes & Legs,Chase Tucker,30.0,Walking Bootcamp
Thu Sep 26 03:48:00 2019,30 min Bootcamp: Arms & Shoulders,Jess Sims,30.0,Body Focus (Bootcamp)
Wed Sep 25 14:18:00 2019,45 min Run + Core,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Sep 23 16:20:00 2019,30 min Bootcamp: Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Mon Sep 23 15:18:00 2019,45 min Caribbean Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Mon Sep 23 03:48:00 2019,45 min Bootcamp: Full Body,Olivia Amato,45.0,Body Focus (Bootcamp)
Sun Sep 22 10:35:00 2019,20 min Bootcamp: Bodyweight,Selena Samuela,20.0,Bodyweight (Bootcamp)
Sun Sep 22 05:18:00 2019,45 min Run + Chest & Back,Andy Speer,45.0,Body Focus (Bootcamp)
Mon Sep 16 16:30:00 2019,60 min Bootcamp: Full Body,Matty Maggiacomo,60.0,Body Focus (Bootcamp)
Sun Sep 15 05:18:00 2019,45 min Run + Core,Andy Speer,45.0,Body Focus (Bootcamp)
Sat Sep 14 07:48:00 2019,60 min R&B Bootcamp,Jess Sims,60.0,Theme (Bootcamp)
Fri Sep 13 02:49:00 2019,30 min 90s Bootcamp,Matty Maggiacomo,30.0,Theme (Bootcamp)
Thu Sep 12 16:17:00 2019,60 min Bootcamp: Full Body,Andy Speer,60.0,Body Focus (Bootcamp)
Wed Sep 11 16:19:00 2019,30 min Bootcamp: Full Body,Rebecca Kennedy,30.0,Body Focus (Bootcamp)
Wed Sep 11 15:19:00 2019,45 min Bootcamp: Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Wed Sep 11 07:04:00 2019,30 min Walk + Glutes & Legs,Jess Sims,30.0,Walking Bootcamp
Tue Sep 10 15:18:00 2019,45 min Bootcamp: Bodyweight,Selena Samuela,45.0,Bodyweight (Bootcamp)
Tue Sep 10 14:16:00 2019,45 min Bootcamp: Chest & Back,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Sep  9 15:18:00 2019,45 min Run + Bodyweight,Chase Tucker,45.0,Bodyweight (Bootcamp)
Sun Sep  8 05:17:00 2019,45 min Bootcamp: Glutes & Legs,Andy Speer,45.0,Body Focus (Bootcamp)
