Original Air Date,Title,Instructor,Length,Type
Thu May  2 14:18:00 2019,45 min HRZ Bootcamp: Core,Jess Sims,45.0,Heart Rate Bootcamp
Sat Apr 27 09:20:00 2019,30 min Run + Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Fri Apr 26 03:49:00 2019,45 min Classic Rock Bootcamp,Selena Samuela,45.0,Theme (Bootcamp)
Thu Apr 25 16:19:00 2019,60 min Bootcamp: Arms & Shoulders,Matty Maggiacomo,60.0,Body Focus (Bootcamp)
Wed Apr 24 03:49:00 2019,30 min Trap Bootcamp,Jess Sims,30.0,Theme (Bootcamp)
Tue Apr 23 05:21:00 2019,20 min 90s Bootcamp,Olivia Amato,20.0,Theme (Bootcamp)
Mon Apr 22 16:19:00 2019,60 min HRZ Bootcamp: Glutes & Legs,Matty Maggiacomo,60.0,Heart Rate Bootcamp
Mon Apr 22 15:20:00 2019,45 min Run + Chest & Back ,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Apr 22 10:21:00 2019,20 min Bootcamp: Full Body,Andy Speer,20.0,Body Focus (Bootcamp)
Mon Apr 22 03:47:00 2019,30 min Run + Arms & Shoulders,Olivia Amato,30.0,Body Focus (Bootcamp)
Sun Apr 21 05:18:00 2019,45 min HRZ Bootcamp: Arms & Shoulders,Andy Speer,45.0,Heart Rate Bootcamp
Fri Apr 19 03:48:00 2019,30 min Run + Core Strength,Selena Samuela,30.0,Body Focus (Bootcamp)
Wed Apr 17 15:19:00 2019,30 min Run + Bodyweight ,Matty Maggiacomo,30.0,Bodyweight (Bootcamp)
Tue Apr 16 16:18:00 2019,45 min 90s Bootcamp,Chase Tucker,45.0,Theme (Bootcamp)
Tue Apr 16 04:48:00 2019,30 min Run + Chest & Back ,Olivia Amato,30.0,Body Focus (Bootcamp)
Mon Apr 15 16:18:00 2019,60 min HRZ Bootcamp: Full Body,Matty Maggiacomo,60.0,Heart Rate Bootcamp
Sun Apr 14 05:19:00 2019,45 min Run + Chest & Back,Andy Speer,45.0,Body Focus (Bootcamp)
Sat Apr 13 07:49:00 2019,60 min Bootcamp: Core,Chase Tucker,60.0,Body Focus (Bootcamp)
Thu Apr 11 14:18:00 2019,30 min Run + Arms & Shoulders,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Thu Apr 11 03:49:00 2019,30 min EDM Bootcamp,Olivia Amato,30.0,Theme (Bootcamp)
Tue Apr  9 14:17:00 2019,30 min Run + Glutes & Legs,Rebecca Kennedy,30.0,Body Focus (Bootcamp)
Tue Apr  9 04:48:00 2019,30 min Run + Chest & Back ,Olivia Amato,30.0,Body Focus (Bootcamp)
Mon Apr  8 14:19:00 2019,45 min Run + Full Body,Robin Arzon,45.0,Body Focus (Bootcamp)
Mon Apr  8 02:48:00 2019,45 min Run + Core Strength,Becs Gentry,45.0,Body Focus (Bootcamp)
Sun Apr  7 05:18:00 2019,45 min Run + Glutes & Legs,Andy Speer,45.0,Body Focus (Bootcamp)
Sat Apr  6 10:22:00 2019,20 min Bootcamp: Full Body,Chase Tucker,20.0,Body Focus (Bootcamp)
Wed Apr  3 16:19:00 2019,60 min Bootcamp: Full Body,Rebecca Kennedy,60.0,Body Focus (Bootcamp)
Wed Apr  3 15:19:00 2019,30 min Run + Core,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Wed Apr  3 12:48:00 2019,20 min Bootcamp: Glutes & Legs,Jess Sims,20.0,Body Focus (Bootcamp)
Wed Apr  3 04:48:00 2019,45 min 80s Bootcamp,Andy Speer,45.0,Theme (Bootcamp)
Tue Apr  2 15:18:00 2019,45 min Run + Glutes & Legs,Selena Samuela,45.0,Body Focus (Bootcamp)
Tue Apr  2 04:48:00 2019,30 min Run + Arms & Shoulders,Olivia Amato,30.0,Body Focus (Bootcamp)
Mon Apr  1 15:21:00 2019,45 min Run + Glutes & Legs,Chase Tucker,45.0,Body Focus (Bootcamp)
Mon Apr  1 08:03:00 2019,20 min Bootcamp: Bodyweight,Rebecca Kennedy,20.0,Bodyweight (Bootcamp)
Sat Mar 30 05:17:00 2019,45 min Bootcamp: Chest & Back,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Fri Mar 29 07:22:00 2019,30 min Walk + Full Body,Olivia Amato,30.0,Walking Bootcamp
Wed Mar 27 10:19:00 2019,30 min Bootcamp: Full Body,Selena Samuela,30.0,Body Focus (Bootcamp)
Tue Mar 26 15:19:00 2019,45 min Run + Full Body,Selena Samuela,45.0,Body Focus (Bootcamp)
Tue Mar 26 14:20:00 2019,45 min Hip Hop Bootcamp,Rebecca Kennedy,45.0,Theme (Bootcamp)
Mon Mar 25 16:19:00 2019,60 min Bootcamp: Core,Matty Maggiacomo,60.0,Body Focus (Bootcamp)
Sat Mar 23 09:22:00 2019,30 min Walk + Core,Olivia Amato,30.0,Walking Bootcamp
Thu Mar 21 16:18:00 2019,60 min Bootcamp: Chest & Back,Matty Maggiacomo,60.0,Body Focus (Bootcamp)
Wed Mar 20 15:18:00 2019,45 min Bootcamp: Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Mon Mar 18 16:19:00 2019,60 min HRZ Bootcamp: Full Body,Matty Maggiacomo,60.0,Heart Rate Bootcamp
Sun Mar 17 05:19:00 2019,45 min Bootcamp: Bodyweight,Selena Samuela,45.0,Bodyweight (Bootcamp)
