Original Air Date,Type,Instructor,Length
Tue Nov  5 13:12:00 2019,Walk + Run,Chase Tucker,20.0
Mon Nov  4 12:22:00 2019,Power Walking,Rebecca Kennedy,30.0
Mon Nov  4 02:48:00 2019,Walk + Run,Matty Maggiacomo,30.0
Sun Nov  3 06:18:00 2019,Walk + Run,Rebecca Kennedy,45.0
Sat Oct 26 09:11:00 2019,Fun Walk,Matty Maggiacomo,45.0
Thu Oct 24 06:48:00 2019,Power Walking,Chase Tucker,45.0
Wed Oct 23 05:48:00 2019,Walk + Run,Matt Wilpers,30.0
Tue Oct 22 14:20:00 2019,Walk + Run,Rebecca Kennedy,20.0
Mon Oct 21 14:18:00 2019,Walk + Run,Robin Arzon,30.0
Mon Oct 21 10:53:00 2019,Walk + Run,Becs Gentry,30.0
Mon Oct 21 07:50:00 2019,Fun Walk,Rebecca Kennedy,20.0
Thu Oct 17 13:10:00 2019,Power Walking,Olivia Amato,20.0
Wed Oct 16 04:48:00 2019,Walk + Run,Andy Speer,30.0
Fri Oct 11 03:48:00 2019,Walk + Run,Andy Speer,45.0
Thu Oct 10 04:49:00 2019,Walk + Run,Matty Maggiacomo,20.0
Wed Oct  9 02:47:00 2019,Walk + Run,Matt Wilpers,20.0
Sat Oct  5 09:12:00 2019,Power Walking,Matty Maggiacomo,30.0
Fri Oct  4 06:14:00 2019,Warm Up/Cool Down Walking,Becs Gentry,10.0
Thu Oct  3 14:16:00 2019,Walk + Run,Olivia Amato,45.0
Mon Sep 30 16:20:00 2019,Walk + Run,Matty Maggiacomo,45.0
Mon Sep 30 12:57:00 2019,Walk + Run,Becs Gentry,20.0
Mon Sep 30 07:49:00 2019,Hiking Walking,Rebecca Kennedy,20.0
Thu Sep 26 12:47:00 2019,Fun Walk,Olivia Amato,20.0
Wed Sep 25 16:20:00 2019,Walk + Run,Rebecca Kennedy,30.0
Wed Sep 25 05:50:00 2019,Power Walking,Jess Sims,30.0
Tue Sep 24 15:18:00 2019,Walk + Run,Andy Speer,45.0
Tue Sep 24 13:20:00 2019,Hiking Walking,Chase Tucker,30.0
Mon Sep 23 05:51:00 2019,Power Walking,Rebecca Kennedy,30.0
Sun Sep 22 11:01:00 2019,Fun Walk,Selena Samuela,30.0
Thu Sep 19 16:18:00 2019,Walk + Run,Andy Speer,30.0
Tue Sep 17 14:19:00 2019,Walk + Run,Selena Samuela,45.0
Tue Sep 17 04:47:00 2019,Walk + Run,Olivia Amato,45.0
Fri Sep 13 05:50:00 2019,Walk + Run,Becs Gentry,45.0
Fri Sep 13 04:47:00 2019,Walk + Run,Andy Speer,45.0
Thu Sep 12 03:48:00 2019,Walk + Run,Jess Sims,45.0
Wed Sep 11 02:47:00 2019,Walk + Run,Matt Wilpers,30.0
Tue Sep 10 04:48:00 2019,Walk + Run,Olivia Amato,30.0
Sun Sep  8 10:03:00 2019,Warm Up/Cool Down Walking,Selena Samuela,10.0
Sun Sep  8 09:39:00 2019,Power Walking,Selena Samuela,20.0
Sun Sep  8 09:23:00 2019,Warm Up/Cool Down Walking,Selena Samuela,10.0
Tue Sep  3 06:42:00 2019,Warm Up/Cool Down Walking,Andy Speer,10.0
Tue Sep  3 05:47:00 2019,Warm Up/Cool Down Walking,Andy Speer,10.0
Fri Aug 30 07:30:00 2019,Power Walking,Matty Maggiacomo,20.0
Fri Aug 23 05:54:00 2019,Fun Walk,Becs Gentry,30.0
Fri Aug 23 04:47:00 2019,Walk + Run,Matty Maggiacomo,30.0
Wed Aug 21 11:59:00 2019,Fun Walk,Selena Samuela,20.0
Wed Aug 21 11:18:00 2019,Power Walking,Selena Samuela,30.0
Wed Aug 21 10:58:00 2019,Warm Up/Cool Down Walking,Jess Sims,10.0
Wed Aug 21 10:19:00 2019,Power Walking,Jess Sims,30.0
Tue Aug 20 12:48:00 2019,Warm Up/Cool Down Walking,Chase Tucker,10.0
Tue Aug 20 11:18:00 2019,Power Walking,Andy Speer,45.0
Mon Aug 19 08:02:00 2019,Fun Walk,Rebecca Kennedy,20.0
Sun Aug 18 10:36:00 2019,Warm Up/Cool Down Walking,Rebecca Kennedy,10.0
Sun Aug 18 10:20:00 2019,Warm Up/Cool Down Walking,Rebecca Kennedy,10.0
Sun Aug 18 05:18:00 2019,Walk + Run,Andy Speer,45.0
Wed Aug 14 15:19:00 2019,Walk + Run,Matty Maggiacomo,45.0
Tue Aug 13 14:20:00 2019,Walk + Run,Chase Tucker,45.0
Mon Aug 12 14:18:00 2019,Walk + Run,Robin Arzon,30.0
Fri Aug  9 09:49:00 2019,Warm Up/Cool Down Walking,Becs Gentry,10.0
Fri Aug  9 03:47:00 2019,Walk + Run,Selena Samuela,45.0
Wed Aug  7 11:49:00 2019,Fun Walk,Matty Maggiacomo,20.0
Sun Aug  4 11:02:00 2019,Warm Up/Cool Down Walking,Selena Samuela,10.0
Sun Aug  4 10:39:00 2019,Power Walking,Selena Samuela,20.0
Sun Aug  4 10:21:00 2019,Warm Up/Cool Down Walking,Selena Samuela,10.0
Thu Aug  1 06:43:00 2019,Fun Walk,Matty Maggiacomo,30.0
Wed Jul 31 17:03:00 2019,Hiking Walking,Rebecca Kennedy,20.0
Wed Jul 31 11:29:00 2019,Warm Up/Cool Down Walking,Jess Sims,10.0
