Original Air Date,Title,Instructor,Length,Type
Mon Dec  9 05:22:00 2019,20 min HIIT Cardio,Jess Sims,20.0,HIIT (BTR Cardio)
Fri Dec  6 04:23:00 2019,20 min HIIT Cardio,Selena Samuela,20.0,HIIT (BTR Cardio)
Wed Dec  4 13:34:00 2019,15 min HIIT Cardio,Jess Sims,15.0,HIIT (BTR Cardio)
Tue Dec  3 03:48:00 2019,10 min Move for More: HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Mon Dec  2 06:22:00 2019,20 min HIIT Cardio,Rebecca Kennedy,20.0,HIIT (BTR Cardio)
Thu Nov 21 04:32:00 2019,10 min HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Wed Nov 20 17:03:00 2019,20 min HIIT Cardio,Rebecca Kennedy,20.0,HIIT (BTR Cardio)
Sun Nov 17 07:02:00 2019,10 min HIIT Cardio,Rebecca Kennedy,10.0,HIIT (BTR Cardio)
Fri Nov  8 04:25:00 2019,20 min HIIT Cardio,Selena Samuela,20.0,HIIT (BTR Cardio)
Thu Nov  7 04:33:00 2019,10 min HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Fri Nov  1 03:22:00 2019,20 min HIIT Cardio,Rebecca Kennedy,20.0,HIIT (BTR Cardio)
Sun Oct 27 07:02:00 2019,10 min HIIT Cardio,Rebecca Kennedy,10.0,HIIT (BTR Cardio)
Tue Oct 15 15:02:00 2019,10 min HIIT Cardio,Rebecca Kennedy,10.0,HIIT (BTR Cardio)
Tue Oct 15 04:32:00 2019,10 min HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Tue Oct  8 14:20:00 2019,20 min HIIT Cardio,Rebecca Kennedy,20.0,HIIT (BTR Cardio)
Thu Oct  3 05:32:00 2019,10 min HIIT Cardio,Matty Maggiacomo,10.0,HIIT (BTR Cardio)
Wed Oct  2 17:02:00 2019,20 min HIIT Cardio,Rebecca Kennedy,20.0,HIIT (BTR Cardio)
Thu Sep 26 04:32:00 2019,10 min HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Tue Sep 24 15:02:00 2019,10 min HIIT Cardio,Rebecca Kennedy,10.0,HIIT (BTR Cardio)
Thu Sep 19 04:32:00 2019,10 min HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Tue Sep 17 17:02:00 2019,20 min HIIT Cardio,Rebecca Kennedy,20.0,HIIT (BTR Cardio)
Mon Sep  9 05:32:00 2019,10 min HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Thu Aug 29 05:32:00 2019,10 min HIIT Cardio,Chase Tucker,10.0,HIIT (BTR Cardio)
Mon Aug 26 02:48:00 2019,20 min HIIT Cardio,Selena Samuela,20.0,HIIT (BTR Cardio)
Thu Aug 15 04:32:00 2019,10 min HIIT Cardio,Jess Sims,10.0,HIIT (BTR Cardio)
Sat Aug 10 06:52:00 2019,20 min HIIT Cardio,Chase Tucker,20.0,HIIT (BTR Cardio)
