Original Air Date,Type,Instructor,Length
Mon Jan 13 10:34:00 2020,Pre & Post-Ride Stretch,Ally Love,5.0
Sun Jan 12 11:30:00 2020,Pre & Post-Ride Stretch,Hannah Corbin,5.0
Fri Jan 10 12:33:00 2020,Pre & Post-Ride Stretch,Robin Arzon,5.0
Fri Jan 10 10:06:00 2020,Full Body Stretch,Becs Gentry,10.0
Fri Jan 10 06:53:00 2020,Upper Body Stretch,Andy Speer,10.0
Fri Jan 10 06:40:00 2020,Lower Body Stretch,Andy Speer,10.0
Fri Jan 10 06:26:00 2020,Upper Body Stretch,Andy Speer,10.0
Thu Jan  9 00:54:00 2020,Pre & Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Wed Jan  8 12:42:00 2020,Full Body Stretch,Selena Samuela,10.0
Wed Jan  8 11:14:00 2020,Pre & Post-Ride Stretch,Jess King,5.0
Fri Jan  3 06:35:00 2020,Pre & Post-Run Stretch,Andy Speer,10.0
Fri Jan  3 05:48:00 2020,Pre & Post-Run Stretch,Andy Speer,10.0
Thu Jan  2 01:32:00 2020,Pre & Post-Ride Stretch,Sam Yo,4.983333333333333
Sun Dec 22 05:00:00 2019,Upper Body Stretch,Hannah Corbin,10.0
Fri Dec 20 07:40:00 2019,Lower Body Stretch,Matty Maggiacomo,5.0
Fri Dec 20 07:32:00 2019,Upper Body Stretch,Matty Maggiacomo,5.0
Thu Dec 19 12:30:00 2019,Pre & Post-Ride Stretch,Tunde Oyeneyin,5.0
Wed Dec 18 12:40:00 2019,Pre & Post-Ride Stretch,Robin Arzon,5.0
Wed Dec 18 04:00:00 2019,Pre & Post-Ride Stretch,Olivia Amato,5.0
Mon Dec 16 17:00:00 2019,Pre & Post-Ride Stretch,Matt Wilpers,5.0
Mon Dec 16 01:23:00 2019,Pre & Post-Ride Stretch,Hannah Frankson,4.983333333333333
Sun Dec 15 13:30:00 2019,Lower Body Stretch,Hannah Corbin,10.0
Sun Dec 15 04:00:00 2019,Pre & Post-Ride Stretch,Kendall Toole,5.0
Fri Dec 13 07:24:00 2019,Full Body Stretch,Becs Gentry,5.0
Fri Dec 13 07:10:00 2019,Lower Body Stretch,Becs Gentry,10.0
Wed Dec 11 12:11:00 2019,Full Body Stretch,Denis Morton,5.0
Tue Dec 10 08:10:00 2019,Full Body Stretch,Andy Speer,10.0
Tue Dec 10 08:00:00 2019,Stretch,Andy Speer,10.0
Mon Dec  9 12:53:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Mon Dec  9 12:45:00 2019,Pre & Post-Run Stretch,Becs Gentry,5.0
Sun Dec  8 08:54:00 2019,Lower Body Stretch,Hannah Corbin,10.0
Thu Dec  5 01:37:00 2019,Pre & Post-Ride Stretch,Sam Yo,5.0
Wed Dec  4 13:21:00 2019,Pre & Post-Run Stretch,Jess Sims,10.0
Wed Dec  4 13:15:00 2019,Pre & Post-Run Stretch,Jess Sims,10.0
Wed Dec  4 08:00:00 2019,Pre & Post-Ride Stretch,Denis Morton,5.0
Wed Nov 27 01:35:00 2019,Pre & Post-Ride Stretch,Leanne Hainsby,4.983333333333333
Mon Nov 25 05:00:00 2019,Full Body Stretch,Hannah Corbin,10.0
Sun Nov 24 05:30:00 2019,Full Body Stretch,Emma Lovewell,5.0
Sun Nov 24 05:00:00 2019,Lower Body Stretch,Hannah Corbin,10.0
Sat Nov 23 14:00:00 2019,Lower Body Stretch,Hannah Corbin,10.0
Thu Nov 21 12:37:00 2019,Lower Body Stretch,Chase Tucker,5.0
Thu Nov 21 12:41:00 2019,Pre & Post-Ride Stretch,Alex Toussaint,5.0
Wed Nov 20 06:38:00 2019,Upper Body Stretch,Jess Sims,5.0
Tue Nov 19 23:17:00 2019,Pre & Post-Ride Stretch,Ben Alldis,4.983333333333333
Mon Nov 18 12:27:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Mon Nov 18 12:20:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,5.0
Sat Nov 16 05:00:00 2019,Pre & Post-Ride Stretch,Hannah Corbin,10.0
Thu Nov 14 13:35:00 2019,Pre & Post-Ride Stretch,Christine D'Ercole,5.0
Thu Nov 14 11:29:00 2019,Pre & Post-Ride Stretch,Tunde Oyeneyin,5.0
Wed Nov 13 13:57:00 2019,Pre & Post-Ride Stretch,Robin Arzon,5.0
Wed Nov 13 00:30:00 2019,Pre & Post-Ride Stretch,Sam Yo,4.983333333333333
Mon Nov 11 23:00:00 2019,Pre & Post-Ride Stretch,Hannah Frankson,4.983333333333333
Mon Nov 11 08:18:00 2019,Full Body Stretch,Rebecca Kennedy,15.0
Wed Nov  6 11:58:00 2019,Pre & Post-Run Stretch,Selena Samuela,10.0
Wed Nov  6 10:57:00 2019,Pre & Post-Run Stretch,Selena Samuela,10.0
Wed Nov  6 04:00:00 2019,Pre & Post-Ride Stretch,Emma Lovewell,5.0
Tue Nov  5 13:36:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Tue Nov  5 12:46:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Mon Nov  4 06:28:00 2019,Full Body Stretch,Ally Love,5.0
