Original Air Date,Title,Instructor,Length,Type
Sun Jun 14 14:49:00 2020,20 min 70s Ride ,Hannah Corbin,20.0,Theme
Sun Jun 14 14:03:00 2020,20 min Classic Rock Ride ,Christine D'Ercole,20.0,Theme
Sun Jun 14 14:00:00 2020,15 min Classic Rock Ride ,Olivia Amato,15.0,Theme
Sun Jun 14 13:20:00 2020,30 min Power Zone Endurance Ride,Christine D'Ercole,30.0,Power Zone
Sun Jun 14 13:00:00 2020,30 min 90s Ride,Emma Lovewell,30.0,Theme
Sun Jun 14 09:50:00 2020,30 min 80s Pop Ride: Live From Home,Ally Love,30.0,Theme
Sun Jun 14 06:50:00 2020,30 min My Mixtape Ride: Live from Home,Jenn Sherman,30.0,Theme
Sun Jun 14 01:25:00 2020,20 min Hip Hop Ride,Ben Alldis,20.0,Theme
Sun Jun 14 01:00:00 2020,20 min Tabata Ride,Ben Alldis,20.0,Intervals
Sat Jun 13 15:22:00 2020,20 min Climb Ride,Kendall Toole,20.0,Climb
Sat Jun 13 14:49:00 2020,20 min Latin Ride,Kendall Toole,20.0,Theme
Sat Jun 13 14:03:00 2020,20 min Groove Ride ,Emma Lovewell,20.0,Groove
Sat Jun 13 14:00:00 2020,30 min Power Zone Endurance Ride ,Matt Wilpers,30.0,Power Zone
Sat Jun 13 13:17:00 2020,30 min Classic Rock Ride ,Emma Lovewell,30.0,Theme
Sat Jun 13 09:49:00 2020,30 min EDM Ride: Live From Home,Jess King,30.0,Theme
Sat Jun 13 08:00:00 2020,30 min HIIT Ride,Hannah Frankson,30.0,Intervals
Sat Jun 13 06:52:00 2020,30 min Together We Ride: Live From Home ,Robin Arzon,30.0,Theme
Sat Jun 13 03:00:00 2020,20 min Pride Ride,Erik Jäger,20.0,Theme
Sat Jun 13 01:51:00 2020,30 min Intervals & Arms Ride,Sam Yo,30.0,Intervals
Sat Jun 13 01:25:00 2020,20 min 90s Ride,Leanne Hainsby,20.0,Theme
Sat Jun 13 01:00:00 2020,20 min HIIT Ride,Leanne Hainsby,20.0,Intervals
Fri Jun 12 14:52:00 2020,30 min Ricky Martin Ride,Cody Rigsby,30.0,Theme
Fri Jun 12 14:05:00 2020,15 min 70s Ride ,Christine D'Ercole,15.0,Theme
Fri Jun 12 14:00:00 2020,30 min HIIT & Hills Ride ,Robin Arzon,30.0,Intervals
Fri Jun 12 13:21:00 2020,30 min Climb Ride ,Christine D'Ercole,30.0,Climb
Fri Jun 12 13:00:00 2020,30 min Intervals & Arms Ride,Tunde Oyeneyin,30.0,Intervals
Fri Jun 12 09:25:00 2020,30 min Hip Hop Ride: Live from Home,Jess King,30.0,Theme
Fri Jun 12 07:00:00 2020,30 min 90s Ride,Sam Yo,30.0,Theme
Fri Jun 12 05:54:00 2020,30 min Pop Ride: Live from Home,Ally Love,30.0,Theme
Fri Jun 12 04:51:00 2020,45 min Intervals & Arms Ride,Hannah Frankson,45.0,Intervals
Thu Jun 11 14:50:00 2020,30 min Intervals & Arms Ride,Emma Lovewell,30.0,Intervals
Thu Jun 11 14:00:00 2020,20 min Low Impact Ride,Jess King,20.0,Low Impact
Thu Jun 11 13:19:00 2020,30 min Reset,Denis Morton,30.0,Theme
Thu Jun 11 13:00:00 2020,15 min Country Ride,Hannah Corbin,15.0,Theme
Thu Jun 11 09:25:00 2020,30 min 70s Ride: Live from Home,Jenn Sherman,30.0,Theme
Thu Jun 11 07:30:00 2020,20 min 2000s Ride,Sam Yo,20.0,Theme
Thu Jun 11 03:50:00 2020,30 min 90s Ride,Hannah Frankson,30.0,Theme
Wed Jun 10 15:34:00 2020,15 min EDM/Electronic Dance Ride ,Matt Wilpers,15.0,Theme
Wed Jun 10 14:49:00 2020,30 min Intervals & Arms Ride,Matt Wilpers,30.0,Intervals
Wed Jun 10 14:03:00 2020,10 min Cool Down Ride,Kendall Toole,10.0,Low Impact
Wed Jun 10 13:19:00 2020,30 min Metal Ride,Kendall Toole,30.0,Theme
Wed Jun 10 13:00:00 2020,20 min Beginner Ride ,Christine D'Ercole,20.0,Beginner
Wed Jun 10 09:24:00 2020,30 min Pride Ride: Live from Home,Robin Arzon,30.0,Theme
Wed Jun 10 07:00:00 2020,20 min Pop Ride,Hannah Frankson,20.0,Theme
Wed Jun 10 05:55:00 2020,30 min HIIT & Hills Ride: Live from Home,Ben Alldis,30.0,Intervals
Wed Jun 10 03:51:00 2020,45 min Rock Ride,Sam Yo,45.0,Theme
Tue Jun  9 14:48:00 2020,30 min D Smith Ride,Tunde Oyeneyin,30.0,Theme
Tue Jun  9 13:52:00 2020,20 min HIIT Ride ,Olivia Amato,20.0,Intervals
Tue Jun  9 13:17:00 2020,20 min Pride Ride,Olivia Amato,20.0,Theme
Tue Jun  9 13:00:00 2020,30 min Intervals & Arms Ride,Cody Rigsby,30.0,Intervals
Tue Jun  9 13:00:00 2020,45 min Power Zone Ride,Denis Morton,45.0,Power Zone
Tue Jun  9 09:24:00 2020,30 min Tabata Ride: Live from Home,Ally Love,30.0,Intervals
Tue Jun  9 07:30:00 2020,30 min 2000s Ride,Ben Alldis,30.0,Theme
Tue Jun  9 05:55:00 2020,30 min 2010s Ride: Live from Home,Leanne Hainsby,30.0,Theme
Tue Jun  9 01:00:00 2020,20 min HIIT Ride,Sam Yo,20.0,Intervals
Mon Jun  8 15:35:00 2020,15 min Low Impact Ride,Hannah Corbin,15.0,Low Impact
Mon Jun  8 14:49:00 2020,30 min Advanced Beginner Ride,Hannah Corbin,30.0,Beginner
Mon Jun  8 14:04:00 2020,20 min R&B Ride,Tunde Oyeneyin,20.0,Theme
Mon Jun  8 13:17:00 2020,30 min HIIT Ride,Tunde Oyeneyin,30.0,Intervals
Mon Jun  8 09:22:00 2020,30 min Intervals & Arms: Live from Home,Jess King,30.0,Intervals
Mon Jun  8 07:00:00 2020,5 min Cool Down Ride ,Robin Arzon,5.0,Low Impact
Mon Jun  8 07:00:00 2020,30 min 60s Ride,Leanne Hainsby,30.0,Theme
Mon Jun  8 05:55:00 2020,30 min 80s Ride: Live from Home,Ben Alldis,30.0,Theme
Mon Jun  8 01:25:00 2020,10 min Cool Down Ride ,Hannah Frankson,10.0,Low Impact
Mon Jun  8 01:00:00 2020,20 min Tabata Ride,Hannah Frankson,20.0,Intervals
Sun Jun  7 14:49:00 2020,20 min 2010s Pop Ride ,Tunde Oyeneyin,20.0,Theme
Sun Jun  7 14:02:00 2020,20 min 90s Rock Ride ,Hannah Corbin,20.0,Theme
Sun Jun  7 14:00:00 2020,30 min HIIT & Hills Ride ,Olivia Amato,30.0,Intervals
Sun Jun  7 13:20:00 2020,30 min 2000s Ride ,Hannah Corbin,30.0,Theme
Sun Jun  7 13:00:00 2020,20 min 80s Ride,Emma Lovewell,20.0,Theme
Sun Jun  7 09:55:00 2020,30 min Feel Good Ride: Live from Home ,Ally Love,30.0,Theme
Sun Jun  7 07:00:00 2020,5 min Warm Up Ride ,Ally Love,5.0,Low Impact
Sun Jun  7 06:50:00 2020,30 min Rock Ride: Live From Home ,Jenn Sherman,30.0,Theme
Sun Jun  7 01:25:00 2020,20 min Pop Ride,Ben Alldis,20.0,Theme
Sun Jun  7 01:00:00 2020,20 min Climb Ride,Ben Alldis,20.0,Climb
Sat Jun  6 15:00:00 2020,30 min Low Impact Ride,Hannah Corbin,30.0,Low Impact
Sat Jun  6 14:05:00 2020,20 min HIIT Ride ,Kendall Toole,20.0,Intervals
Sat Jun  6 14:00:00 2020,20 min Beginner Ride,Matt Wilpers,20.0,Beginner
Sat Jun  6 13:19:00 2020,30 min 90s Ride ,Kendall Toole,30.0,Theme
Sat Jun  6 13:00:00 2020,20 min Hip Hop Ride ,Alex Toussaint,20.0,Theme
Sat Jun  6 10:00:00 2020,30 min Sweat Steady Ride: Live from Home,Jess King,30.0,Theme
Sat Jun  6 08:00:00 2020,30 min HIIT & Hills Ride,Hannah Frankson,30.0,Intervals
Sat Jun  6 06:50:00 2020,30 min Together We Ride: Live From Home ,Robin Arzon,30.0,Theme
Sat Jun  6 01:50:00 2020,30 min HIIT Ride,Sam Yo,30.0,Intervals
Sat Jun  6 01:25:00 2020,20 min 80s Ride,Leanne Hainsby,20.0,Theme
Sat Jun  6 01:00:00 2020,20 min Tabata Ride,Leanne Hainsby,20.0,Intervals
Fri Jun  5 15:00:00 2020,30 min 2000s Rock Ride,Emma Lovewell,30.0,Theme
Fri Jun  5 14:06:00 2020,20 min Hip Hop Ride ,Matt Wilpers,20.0,Theme
Fri Jun  5 14:00:00 2020,20 min 70s Ride ,Denis Morton,20.0,Theme
Fri Jun  5 13:23:00 2020,30 min HIIT & Hills Ride ,Matt Wilpers,30.0,Intervals
Fri Jun  5 13:00:00 2020,20 min New Wave Ride,Christine D'Ercole,20.0,Theme
Fri Jun  5 09:25:00 2020,30 min 2000s Hip Hop: Live From Home ,Alex Toussaint,30.0,Theme
Fri Jun  5 07:30:00 2020,20 min 2000s Ride,Hannah Frankson,20.0,Theme
Fri Jun  5 07:00:00 2020,5 min Cool Down Ride ,Olivia Amato,4.983333333333333,Low Impact
Fri Jun  5 05:55:00 2020,30 min 90s Ride: Live From Home ,Ally Love,30.0,Theme
Fri Jun  5 05:00:00 2020,45 min 80s Ride,Sam Yo,45.0,Theme
Thu Jun  4 14:48:00 2020,30 min EDM/Electronic Dance Ride ,Kendall Toole,30.0,Theme
Thu Jun  4 14:00:00 2020,20 min EDM/Electronic Dance Ride,Jess King,20.0,Theme
Thu Jun  4 13:26:00 2020,30 min Classic Rock Ride ,Olivia Amato,30.0,Theme
Thu Jun  4 13:00:00 2020,20 min 90s Hip Hop Ride,Robin Arzon,20.0,Theme
Thu Jun  4 09:24:00 2020,30 min 2000s Pop Ride: Live from Home,Jenn Sherman,30.0,Theme
Thu Jun  4 07:00:00 2020,30 min Intervals & Arms Ride,Sam Yo,30.0,Intervals
Thu Jun  4 05:54:00 2020,30 min Pop Ride: Live from Home,Leanne Hainsby,30.0,Theme
Thu Jun  4 03:54:00 2020,30 min 2010s Ride,Hannah Frankson,30.0,Theme
Thu Jun  4 00:00:00 2020,20 min Pop Ride,Erik Jäger,20.0,Theme
Wed Jun  3 14:54:00 2020,30 min Speak Up Ride ,Tunde Oyeneyin,30.0,Theme
Wed Jun  3 14:05:00 2020,10 min Low Impact Ride,Christine D'Ercole,10.0,Low Impact
Wed Jun  3 13:20:00 2020,30 min Power Zone Ride,Christine D'Ercole,30.0,Power Zone
Wed Jun  3 09:21:00 2020,30 min HIIT Ride: Live From Home,Robin Arzon,30.0,Intervals
Wed Jun  3 07:00:00 2020,5 min Warm Up Ride,Jess King,4.983333333333333,Low Impact
Wed Jun  3 07:00:00 2020,30 min 80s Rock Ride,Sam Yo,30.0,Theme
Wed Jun  3 05:55:00 2020,30 min House Ride: Live from Home,Ben Alldis,30.0,Theme
Wed Jun  3 03:50:00 2020,45 min HIIT & Hills Ride,Hannah Frankson,45.0,Intervals
Tue Jun  2 01:25:00 2020,10 min Low Impact Ride,Sam Yo,10.0,Low Impact
Tue Jun  2 01:00:00 2020,20 min Climb Ride,Sam Yo,20.0,Climb
Mon Jun  1 14:50:00 2020,45 min Intervals & Arms Ride ,Cody Rigsby,45.0,Intervals
Mon Jun  1 15:00:00 2020,15 min Tabata Ride,Ally Love,15.0,Intervals
Mon Jun  1 14:05:00 2020,20 min Pop Ride ,Denis Morton,20.0,Theme
Mon Jun  1 14:00:00 2020,30 min Pop Ride ,Kendall Toole,30.0,Theme
Mon Jun  1 13:21:00 2020,30 min Tabata Ride,Denis Morton,30.0,Intervals
Mon Jun  1 13:00:00 2020,15 min Southern Rock Ride,Hannah Corbin,15.0,Theme
Mon Jun  1 09:24:00 2020,30 min HIIT & Hills Ride: Live from Home,Jess King,30.0,Intervals
Mon Jun  1 07:00:00 2020,30 min Low Impact Ride,Leanne Hainsby,30.0,Low Impact
Mon Jun  1 07:00:00 2020,5 min Cool Down Ride ,Kendall Toole,6.483333333333333,Low Impact
Mon Jun  1 06:00:00 2020,30 min Intervals & Arms: Live from Home,Ben Alldis,30.0,Intervals
Mon Jun  1 01:00:00 2020,20 min HIIT Ride,Hannah Frankson,20.0,Intervals
Sun May 31 15:33:00 2020,15 min Hip Hop Ride ,Tunde Oyeneyin,15.0,Theme
Sun May 31 14:50:00 2020,30 min HIIT & Hills Ride ,Tunde Oyeneyin,30.0,Intervals
Sun May 31 14:04:00 2020,20 min Low Impact Ride,Christine D'Ercole,20.0,Low Impact
Sun May 31 14:00:00 2020,30 min Power Zone Ride ,Olivia Amato,30.0,Power Zone
Sun May 31 13:19:00 2020,30 min Power Zone Endurance Ride,Christine D'Ercole,30.0,Power Zone
Sun May 31 13:00:00 2020,20 min Beginner Ride ,Robin Arzon,20.0,Beginner
Sun May 31 12:03:00 2020,20 min Latin Ride,Cody Rigsby,20.0,Theme
Sun May 31 11:19:00 2020,30 min Pop Ride ,Cody Rigsby,30.0,Theme
Sun May 31 09:53:00 2020,30 min Intervals & Arms: Live From Home ,Ally Love,30.0,Intervals
Sun May 31 08:00:00 2020,30 min Low Impact Ride,Sam Yo,30.0,Low Impact
