Wed Jun 17 14:18:00 2020,Yoga Flow,yoga,Kristin McGee,20.0
Wed Jun 17 14:00:00 2020,Theme,cycling,Cody Rigsby,20.0
Wed Jun 17 13:21:00 2020,Power Zone,cycling,Matt Wilpers,60.0
Wed Jun 17 13:04:00 2020,Emotions,meditation,Ross Rayburn,10.0
Wed Jun 17 12:17:00 2020,Yoga Flow,yoga,Ross Rayburn,30.0
Wed Jun 17 11:37:00 2020,Yoga Flow,yoga,Ross Rayburn,10.0
Wed Jun 17 09:25:00 2020,Theme,cycling,Robin Arzon,30.0
Wed Jun 17 07:53:00 2020,HIIT (BTR Cardio),cardio,Jess Sims,20.0
Wed Jun 17 07:10:00 2020,Upper Body (strength & toning),strength,Olivia Amato,10.0
Wed Jun 17 07:00:00 2020,Emotions,meditation,Chelsea Jackson Roberts,10.0
Wed Jun 17 07:00:00 2020,Pre & Post-Ride Stretch,stretching,Olivia Amato,5.0
Wed Jun 17 07:00:00 2020,Hiking Walking,walking,Jess Sims,20.0
Wed Jun 17 07:00:00 2020,Theme,cycling,Hannah Frankson,20.0
Wed Jun 17 06:36:00 2020,Relax & Sleep,meditation,Anna Greenberg,4.983333333333333
Wed Jun 17 06:24:00 2020,Body Focus (Bootcamp),circuit,Olivia Amato,30.0
Wed Jun 17 06:15:00 2020,Yoga Basics,yoga,Anna Greenberg,10.0
Wed Jun 17 05:55:00 2020,Intervals,cycling,Ben Alldis,30.0
Wed Jun 17 04:55:00 2020,Fun Run,running,Matty Maggiacomo,30.0
Wed Jun 17 04:00:00 2020,Intervals,cycling,Sam Yo,45.0
Tue Jun 16 15:35:00 2020,Low Impact,cycling,Emma Lovewell,15.0
Tue Jun 16 14:48:00 2020,Fun Run,running,Adrian Williams,30.0
Tue Jun 16 14:50:00 2020,Theme,cycling,Emma Lovewell,30.0
Tue Jun 16 14:05:00 2020,Intervals,cycling,Cody Rigsby,20.0
Tue Jun 16 13:19:00 2020,Theme,cycling,Cody Rigsby,30.0
Tue Jun 16 13:30:00 2020,Yoga Flow,yoga,Chelsea Jackson Roberts,30.0
Tue Jun 16 11:21:00 2020,Power Yoga,yoga,Aditi Shah,30.0
Tue Jun 16 09:24:00 2020,Intervals,cycling,Alex Toussaint,30.0
Tue Jun 16 07:00:00 2020,Climb,cycling,Ben Alldis,30.0
Tue Jun 16 07:00:00 2020,Yoga Anywhere,yoga,Chelsea Jackson Roberts,10.0
Tue Jun 16 05:55:00 2020,Theme,cycling,Leanne Hainsby,30.0
Tue Jun 16 01:25:00 2020,Climb,cycling,Sam Yo,10.0
Tue Jun 16 01:00:00 2020,Low Impact,cycling,Sam Yo,20.0
Mon Jun 15 15:35:00 2020,Theme,cycling,Tunde Oyeneyin,15.0
Mon Jun 15 15:35:00 2020,Upper Body (strength & toning),strength,Rebecca Kennedy,10.0
Mon Jun 15 14:48:00 2020,Low Impact,cycling,Tunde Oyeneyin,30.0
Mon Jun 15 14:48:00 2020,Bodyweight (Bootcamp),circuit,Rebecca Kennedy,30.0
Mon Jun 15 14:30:00 2020,Restorative Yoga,yoga,Kristin McGee,20.0
Mon Jun 15 14:03:00 2020,Theme,cycling,Denis Morton,20.0
Mon Jun 15 14:00:00 2020,Beginner,cycling,Hannah Corbin,20.0
Mon Jun 15 13:18:00 2020,Theme,cycling,Denis Morton,30.0
Mon Jun 15 12:23:00 2020,Core (Strength & Toning),strength,Andy Speer,10.0
Mon Jun 15 11:47:00 2020,Intervals Running,running,Andy Speer,20.0
Mon Jun 15 11:21:00 2020,Yoga Flow,yoga,Ross Rayburn,30.0
Mon Jun 15 09:24:00 2020,Theme,cycling,Jess King,30.0
Mon Jun 15 07:54:00 2020,Upper Body (strength & toning),strength,Robin Arzon,15.0
Mon Jun 15 07:33:00 2020,Upper Body (strength & toning),strength,Leanne Hainsby,10.0
Mon Jun 15 07:00:00 2020,Pre & Post-Ride Stretch,stretching,Denis Morton,5.0
Mon Jun 15 07:00:00 2020,Intervals,cycling,Leanne Hainsby,30.0
Mon Jun 15 06:00:00 2020,Theme,cycling,Ben Alldis,30.0
Mon Jun 15 05:24:00 2020,Fun Run,running,Olivia Amato,30.0
Mon Jun 15 01:15:00 2020,Upper Body (strength & toning),strength,Hannah Frankson,4.983333333333333
Mon Jun 15 01:00:00 2020,Intervals,cycling,Hannah Frankson,20.0
Sun Jun 14 15:34:00 2020,Upper Body (strength & toning),strength,Selena Samuela,10.0
Sun Jun 14 15:23:00 2020,Theme,cycling,Hannah Corbin,20.0
Sun Jun 14 14:49:00 2020,Theme,cycling,Hannah Corbin,20.0
Sun Jun 14 14:48:00 2020,Fun Run,running,Selena Samuela,30.0
Sun Jun 14 14:03:00 2020,Theme,cycling,Christine D'Ercole,20.0
Sun Jun 14 14:00:00 2020,Theme,cycling,Olivia Amato,15.0
Sun Jun 14 13:20:00 2020,Power Zone,cycling,Christine D'Ercole,30.0
Sun Jun 14 13:00:00 2020,Theme,cycling,Emma Lovewell,30.0
Sun Jun 14 11:49:00 2020,Walk + Run,walking,Matt Wilpers,30.0
Sun Jun 14 11:21:00 2020,HIIT (BTR Cardio),cardio,Andy Speer,20.0
Sun Jun 14 09:50:00 2020,Theme,cycling,Ally Love,30.0
Sun Jun 14 06:50:00 2020,Theme,cycling,Jenn Sherman,30.0
Sun Jun 14 01:25:00 2020,Theme,cycling,Ben Alldis,20.0
Sun Jun 14 01:00:00 2020,Intervals,cycling,Ben Alldis,20.0
Sat Jun 13 15:22:00 2020,Climb,cycling,Kendall Toole,20.0
Sat Jun 13 14:51:00 2020,Full Body (Strength & Toning),strength,Chase Tucker,30.0
